,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(43,)",[0.28896997],0.2889699706170167,"('X44',)",,0.0,
2,"(10, 43)",[0.41823823],0.4182382294357513,"('X11', 'X44')",,0.0,
3,"(10, 23, 43)",[0.44344161],0.4434416075662916,"('X11', 'X24', 'X44')",,0.0,
4,"(10, 23, 43, 58)",[0.43473918],0.4347391765186871,"('X11', 'X24', 'X44', 'X59')",,0.0,
5,"(10, 23, 37, 43, 58)",[0.44618811],0.44618810676434184,"('X11', 'X24', 'X38', 'X44', 'X59')",,0.0,
6,"(10, 23, 37, 43, 55, 58)",[0.41437765],0.4143776536007654,"('X11', 'X24', 'X38', 'X44', 'X56', 'X59')",,0.0,
7,"(0, 10, 23, 37, 43, 55, 58)",[0.44733739],0.4473373949605216,"('X1', 'X11', 'X24', 'X38', 'X44', 'X56', 'X59')",,0.0,
8,"(0, 10, 23, 29, 37, 43, 55, 58)",[0.47703498],0.47703498023260105,"('X1', 'X11', 'X24', 'X30', 'X38', 'X44', 'X56', 'X59')",,0.0,
9,"(0, 10, 23, 29, 34, 37, 43, 55, 58)",[0.45176523],0.45176522567360045,"('X1', 'X11', 'X24', 'X30', 'X35', 'X38', 'X44', 'X56', 'X59')",,0.0,
10,"(0, 10, 23, 29, 34, 37, 43, 44, 55, 58)",[0.49507925],0.49507924562905525,"('X1', 'X11', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X56', 'X59')",,0.0,
11,"(0, 10, 18, 23, 29, 34, 37, 43, 44, 55, 58)",[0.48121992],0.48121991630198535,"('X1', 'X11', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X56', 'X59')",,0.0,
12,"(0, 10, 18, 23, 29, 34, 37, 43, 44, 48, 55, 58)",[0.49073343],0.49073342526188846,"('X1', 'X11', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X56', 'X59')",,0.0,
13,"(0, 10, 16, 18, 23, 29, 34, 37, 43, 44, 48, 55, 58)",[0.51681376],0.5168137634538262,"('X1', 'X11', 'X17', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X56', 'X59')",,0.0,
14,"(0, 10, 16, 17, 18, 23, 29, 34, 37, 43, 44, 48, 55, 58)",[0.46990174],0.46990174001943963,"('X1', 'X11', 'X17', 'X18', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X56', 'X59')",,0.0,
15,"(0, 10, 16, 17, 18, 23, 29, 34, 37, 43, 44, 48, 53, 55, 58)",[0.46167978],0.46167977774642055,"('X1', 'X11', 'X17', 'X18', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X54', 'X56', 'X59')",,0.0,
16,"(0, 10, 16, 17, 18, 23, 29, 34, 37, 43, 44, 48, 52, 53, 55, 58)",[0.48192502],0.48192502156237405,"('X1', 'X11', 'X17', 'X18', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X53', 'X54', 'X56', 'X59')",,0.0,
17,"(0, 1, 10, 16, 17, 18, 23, 29, 34, 37, 43, 44, 48, 52, 53, 55, 58)",[0.44032926],0.4403292629368579,"('X1', 'X2', 'X11', 'X17', 'X18', 'X19', 'X24', 'X30', 'X35', 'X38', 'X44', 'X45', 'X49', 'X53', 'X54', 'X56', 'X59')",,0.0,
