,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(40,)",[0.36047019],0.3604701896009209,"('X41',)",,0.0,
2,"(40, 41)",[0.37764722],0.37764722384105553,"('X41', 'X42')",,0.0,
3,"(18, 40, 41)",[0.41976382],0.4197638173899675,"('X19', 'X41', 'X42')",,0.0,
4,"(18, 40, 41, 61)",[0.39820953],0.398209529298741,"('X19', 'X41', 'X42', 'X62')",,0.0,
5,"(18, 34, 40, 41, 61)",[0.40035075],0.40035075123497177,"('X19', 'X35', 'X41', 'X42', 'X62')",,0.0,
6,"(18, 34, 40, 41, 59, 61)",[0.40229308],0.40229308081792925,"('X19', 'X35', 'X41', 'X42', 'X60', 'X62')",,0.0,
7,"(18, 34, 40, 41, 42, 59, 61)",[0.39936782],0.3993678236484631,"('X19', 'X35', 'X41', 'X42', 'X43', 'X60', 'X62')",,0.0,
8,"(18, 34, 40, 41, 42, 57, 59, 61)",[0.40750369],0.40750369191715197,"('X19', 'X35', 'X41', 'X42', 'X43', 'X58', 'X60', 'X62')",,0.0,
9,"(18, 34, 37, 40, 41, 42, 57, 59, 61)",[0.44803866],0.4480386576830452,"('X19', 'X35', 'X38', 'X41', 'X42', 'X43', 'X58', 'X60', 'X62')",,0.0,
10,"(18, 34, 37, 40, 41, 42, 45, 57, 59, 61)",[0.42778226],0.4277822611644746,"('X19', 'X35', 'X38', 'X41', 'X42', 'X43', 'X46', 'X58', 'X60', 'X62')",,0.0,
11,"(18, 34, 37, 40, 41, 42, 45, 52, 57, 59, 61)",[0.40314506],0.40314505937960554,"('X19', 'X35', 'X38', 'X41', 'X42', 'X43', 'X46', 'X53', 'X58', 'X60', 'X62')",,0.0,
12,"(2, 18, 34, 37, 40, 41, 42, 45, 52, 57, 59, 61)",[0.41095414],0.41095413833339833,"('X3', 'X19', 'X35', 'X38', 'X41', 'X42', 'X43', 'X46', 'X53', 'X58', 'X60', 'X62')",,0.0,
13,"(2, 18, 23, 34, 37, 40, 41, 42, 45, 52, 57, 59, 61)",[0.42764441],0.42764441105642426,"('X3', 'X19', 'X24', 'X35', 'X38', 'X41', 'X42', 'X43', 'X46', 'X53', 'X58', 'X60', 'X62')",,0.0,
14,"(2, 18, 23, 24, 34, 37, 40, 41, 42, 45, 52, 57, 59, 61)",[0.44293124],0.44293124430888275,"('X3', 'X19', 'X24', 'X25', 'X35', 'X38', 'X41', 'X42', 'X43', 'X46', 'X53', 'X58', 'X60', 'X62')",,0.0,
