,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.10496215],0.10496214727547482,"('X3',)",,0.0,
2,"(2, 52)",[0.15635039],0.1563503870090368,"('X3', 'X53')",,0.0,
3,"(2, 3, 52)",[0.15535862],0.15535861911357918,"('X3', 'X4', 'X53')",,0.0,
4,"(2, 3, 18, 52)",[0.13157226],0.1315722573554804,"('X3', 'X4', 'X19', 'X53')",,0.0,
5,"(1, 2, 3, 18, 52)",[0.14043389],0.1404338936418701,"('X2', 'X3', 'X4', 'X19', 'X53')",,0.0,
6,"(0, 1, 2, 3, 18, 52)",[0.13997617],0.1399761748592535,"('X1', 'X2', 'X3', 'X4', 'X19', 'X53')",,0.0,
7,"(0, 1, 2, 3, 15, 18, 52)",[0.18003755],0.18003754769470703,"('X1', 'X2', 'X3', 'X4', 'X16', 'X19', 'X53')",,0.0,
8,"(0, 1, 2, 3, 13, 15, 18, 52)",[0.14841192],0.14841191655705688,"('X1', 'X2', 'X3', 'X4', 'X14', 'X16', 'X19', 'X53')",,0.0,
9,"(0, 1, 2, 3, 13, 15, 18, 19, 52)",[0.13815824],0.13815824471449145,"('X1', 'X2', 'X3', 'X4', 'X14', 'X16', 'X19', 'X20', 'X53')",,0.0,
10,"(0, 1, 2, 3, 13, 15, 18, 19, 35, 52)",[0.16595292],0.16595291518742294,"('X1', 'X2', 'X3', 'X4', 'X14', 'X16', 'X19', 'X20', 'X36', 'X53')",,0.0,
11,"(0, 1, 2, 3, 13, 15, 18, 19, 20, 35, 52)",[0.13577038],0.13577037618388021,"('X1', 'X2', 'X3', 'X4', 'X14', 'X16', 'X19', 'X20', 'X21', 'X36', 'X53')",,0.0,
12,"(0, 1, 2, 3, 13, 15, 18, 19, 20, 21, 35, 52)",[0.15372003],0.15372003193227124,"('X1', 'X2', 'X3', 'X4', 'X14', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X53')",,0.0,
13,"(0, 1, 2, 3, 13, 14, 15, 18, 19, 20, 21, 35, 52)",[0.14635279],0.1463527930649161,"('X1', 'X2', 'X3', 'X4', 'X14', 'X15', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X53')",,0.0,
14,"(0, 1, 2, 3, 11, 13, 14, 15, 18, 19, 20, 21, 35, 52)",[0.17340166],0.17340165679210662,"('X1', 'X2', 'X3', 'X4', 'X12', 'X14', 'X15', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X53')",,0.0,
15,"(0, 1, 2, 3, 11, 12, 13, 14, 15, 18, 19, 20, 21, 35, 52)",[0.16468805],0.16468805195687009,"('X1', 'X2', 'X3', 'X4', 'X12', 'X13', 'X14', 'X15', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X53')",,0.0,
16,"(0, 1, 2, 3, 11, 12, 13, 14, 15, 18, 19, 20, 21, 35, 37, 52)",[0.15792719],0.15792719475193306,"('X1', 'X2', 'X3', 'X4', 'X12', 'X13', 'X14', 'X15', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X38', 'X53')",,0.0,
17,"(0, 1, 2, 3, 11, 12, 13, 14, 15, 18, 19, 20, 21, 35, 37, 42, 52)",[0.14227134],0.14227133613080212,"('X1', 'X2', 'X3', 'X4', 'X12', 'X13', 'X14', 'X15', 'X16', 'X19', 'X20', 'X21', 'X22', 'X36', 'X38', 'X43', 'X53')",,0.0,
