,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(38,)",[0.64322141],0.6432214137699286,"('X39',)",,0.0,
2,"(0, 38)",[0.34631756],0.346317562358577,"('X1', 'X39')",,0.0,
3,"(0, 13, 38)",[0.36119094],0.36119093787244694,"('X1', 'X14', 'X39')",,0.0,
4,"(0, 13, 19, 38)",[0.28066653],0.2806665253733208,"('X1', 'X14', 'X20', 'X39')",,0.0,
5,"(0, 10, 13, 19, 38)",[0.29325351],0.29325350603395106,"('X1', 'X11', 'X14', 'X20', 'X39')",,0.0,
6,"(0, 2, 10, 13, 19, 38)",[0.26665787],0.2666578669108751,"('X1', 'X3', 'X11', 'X14', 'X20', 'X39')",,0.0,
7,"(0, 2, 10, 13, 17, 19, 38)",[0.26410614],0.26410613695170493,"('X1', 'X3', 'X11', 'X14', 'X18', 'X20', 'X39')",,0.0,
8,"(0, 2, 10, 13, 17, 19, 34, 38)",[0.22366946],0.2236694645439703,"('X1', 'X3', 'X11', 'X14', 'X18', 'X20', 'X35', 'X39')",,0.0,
9,"(0, 1, 2, 10, 13, 17, 19, 34, 38)",[0.23393669],0.23393668933479916,"('X1', 'X2', 'X3', 'X11', 'X14', 'X18', 'X20', 'X35', 'X39')",,0.0,
10,"(0, 1, 2, 10, 13, 17, 19, 34, 38, 53)",[0.1014638],0.10146380297247082,"('X1', 'X2', 'X3', 'X11', 'X14', 'X18', 'X20', 'X35', 'X39', 'X54')",,0.0,
11,"(0, 1, 2, 4, 10, 13, 17, 19, 34, 38, 53)",[0.08991159],0.08991159046663688,"('X1', 'X2', 'X3', 'X5', 'X11', 'X14', 'X18', 'X20', 'X35', 'X39', 'X54')",,0.0,
12,"(0, 1, 2, 4, 10, 13, 17, 19, 22, 34, 38, 53)",[0.18428257],0.18428257010624116,"('X1', 'X2', 'X3', 'X5', 'X11', 'X14', 'X18', 'X20', 'X23', 'X35', 'X39', 'X54')",,0.0,
13,"(0, 1, 2, 4, 10, 13, 17, 19, 22, 28, 34, 38, 53)",[0.1242447],0.12424469502583713,"('X1', 'X2', 'X3', 'X5', 'X11', 'X14', 'X18', 'X20', 'X23', 'X29', 'X35', 'X39', 'X54')",,0.0,
14,"(0, 1, 2, 4, 10, 13, 17, 18, 19, 22, 28, 34, 38, 53)",[0.1571885],0.157188496457753,"('X1', 'X2', 'X3', 'X5', 'X11', 'X14', 'X18', 'X19', 'X20', 'X23', 'X29', 'X35', 'X39', 'X54')",,0.0,
15,"(0, 1, 2, 4, 10, 13, 16, 17, 18, 19, 22, 28, 34, 38, 53)",[0.17363908],0.17363908192702937,"('X1', 'X2', 'X3', 'X5', 'X11', 'X14', 'X17', 'X18', 'X19', 'X20', 'X23', 'X29', 'X35', 'X39', 'X54')",,0.0,
16,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 22, 28, 34, 38, 53)",[0.16818991],0.1681899099637979,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X23', 'X29', 'X35', 'X39', 'X54')",,0.0,
17,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 22, 28, 34, 38, 53, 54)",[0.12307458],0.12307458389949599,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X23', 'X29', 'X35', 'X39', 'X54', 'X55')",,0.0,
18,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 22, 28, 34, 35, 38, 53, 54)",[0.10363979],0.10363979374787213,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X23', 'X29', 'X35', 'X36', 'X39', 'X54', 'X55')",,0.0,
19,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 20, 22, 28, 34, 35, 38, 53, 54)",[0.0575442],0.05754419767017871,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X21', 'X23', 'X29', 'X35', 'X36', 'X39', 'X54', 'X55')",,0.0,
20,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 38, 53, 54)",[0.11926633],0.11926633001350906,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X39', 'X54', 'X55')",,0.0,
21,"(0, 1, 2, 4, 10, 12, 13, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 53, 54)",[0.12151293],0.12151293155026421,"('X1', 'X2', 'X3', 'X5', 'X11', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X54', 'X55')",,0.0,
22,"(0, 1, 2, 4, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 53, 54)",[0.08622178],0.08622178388987345,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X54', 'X55')",,0.0,
23,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 53, 54)",[0.07683479],0.07683479303142104,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X54', 'X55')",,0.0,
24,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 46, 53, 54)",[0.04313809],0.04313808833887178,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X47', 'X54', 'X55')",,0.0,
25,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 46, 48, 53, 54)",[0.10347464],0.10347464024013409,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X47', 'X49', 'X54', 'X55')",,0.0,
26,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 46, 48, 53, 54, 55)",[0.05415498],0.05415497685805504,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
27,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 34, 35, 36, 38, 46, 48, 53, 54, 55)",[0.01478908],0.014789083291143479,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X35', 'X36', 'X37', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
28,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 34, 35, 36, 38, 46, 48, 53, 54, 55)",[-0.01761156],-0.017611557078873075,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X30', 'X35', 'X36', 'X37', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
29,"(0, 1, 2, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 34, 35, 36, 37, 38, 46, 48, 53, 54, 55)",[0.00364632],0.003646320985871032,"('X1', 'X2', 'X3', 'X5', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X30', 'X35', 'X36', 'X37', 'X38', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
30,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 34, 35, 36, 37, 38, 46, 48, 53, 54, 55)",[-0.09549375],-0.0954937519701442,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X29', 'X30', 'X35', 'X36', 'X37', 'X38', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
31,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 34, 35, 36, 37, 38, 46, 48, 53, 54, 55)",[-0.10469192],-0.10469191988700932,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X35', 'X36', 'X37', 'X38', 'X39', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
32,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 34, 35, 36, 37, 38, 44, 46, 48, 53, 54, 55)",[-0.12462237],-0.12462237373908258,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X35', 'X36', 'X37', 'X38', 'X39', 'X45', 'X47', 'X49', 'X54', 'X55', 'X56')",,0.0,
33,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 34, 35, 36, 37, 38, 44, 46, 48, 52, 53, 54, 55)",[-0.1703189],-0.1703188985084627,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X35', 'X36', 'X37', 'X38', 'X39', 'X45', 'X47', 'X49', 'X53', 'X54', 'X55', 'X56')",,0.0,
34,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 30, 34, 35, 36, 37, 38, 44, 46, 48, 52, 53, 54, 55)",[-0.14212144],-0.1421214417245542,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X31', 'X35', 'X36', 'X37', 'X38', 'X39', 'X45', 'X47', 'X49', 'X53', 'X54', 'X55', 'X56')",,0.0,
35,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 30, 32, 34, 35, 36, 37, 38, 44, 46, 48, 52, 53, 54, 55)",[-0.17156416],-0.17156415513740697,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X31', 'X33', 'X35', 'X36', 'X37', 'X38', 'X39', 'X45', 'X47', 'X49', 'X53', 'X54', 'X55', 'X56')",,0.0,
36,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 30, 32, 34, 35, 36, 37, 38, 44, 46, 48, 49, 52, 53, 54, 55)",[-0.12087956],-0.12087955630766234,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X31', 'X33', 'X35', 'X36', 'X37', 'X38', 'X39', 'X45', 'X47', 'X49', 'X50', 'X53', 'X54', 'X55', 'X56')",,0.0,
37,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 30, 32, 34, 35, 36, 37, 38, 40, 44, 46, 48, 49, 52, 53, 54, 55)",[-0.23100278],-0.2310027775075676,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X31', 'X33', 'X35', 'X36', 'X37', 'X38', 'X39', 'X41', 'X45', 'X47', 'X49', 'X50', 'X53', 'X54', 'X55', 'X56')",,0.0,
38,"(0, 1, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 28, 29, 30, 32, 34, 35, 36, 37, 38, 40, 44, 45, 46, 48, 49, 52, 53, 54, 55)",[-0.23325055],-0.23325055419958018,"('X1', 'X2', 'X3', 'X5', 'X6', 'X11', 'X12', 'X13', 'X14', 'X15', 'X16', 'X17', 'X18', 'X19', 'X20', 'X21', 'X22', 'X23', 'X26', 'X29', 'X30', 'X31', 'X33', 'X35', 'X36', 'X37', 'X38', 'X39', 'X41', 'X45', 'X46', 'X47', 'X49', 'X50', 'X53', 'X54', 'X55', 'X56')",,0.0,
