,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(35,)",[0.79942111],0.7994211100942552,"('X36',)",,0.0,
2,"(7, 35)",[0.82766301],0.8276630112352996,"('X8', 'X36')",,0.0,
3,"(7, 20, 35)",[0.83480616],0.8348061621518794,"('X8', 'X21', 'X36')",,0.0,
4,"(7, 14, 20, 35)",[0.79350256],0.7935025563778094,"('X8', 'X15', 'X21', 'X36')",,0.0,
5,"(7, 14, 20, 35, 54)",[0.81941142],0.8194114244330011,"('X8', 'X15', 'X21', 'X36', 'X55')",,0.0,
6,"(7, 14, 20, 35, 38, 54)",[0.81136999],0.8113699928332447,"('X8', 'X15', 'X21', 'X36', 'X39', 'X55')",,0.0,
7,"(7, 14, 18, 20, 35, 38, 54)",[0.79564171],0.7956417071977588,"('X8', 'X15', 'X19', 'X21', 'X36', 'X39', 'X55')",,0.0,
8,"(7, 14, 18, 20, 31, 35, 38, 54)",[0.78512126],0.7851212608054958,"('X8', 'X15', 'X19', 'X21', 'X32', 'X36', 'X39', 'X55')",,0.0,
9,"(7, 14, 18, 20, 31, 35, 38, 54, 57)",[0.77664406],0.7766440552665597,"('X8', 'X15', 'X19', 'X21', 'X32', 'X36', 'X39', 'X55', 'X58')",,0.0,
10,"(7, 14, 18, 20, 31, 35, 38, 54, 55, 57)",[0.77991426],0.7799142633541227,"('X8', 'X15', 'X19', 'X21', 'X32', 'X36', 'X39', 'X55', 'X56', 'X58')",,0.0,
11,"(7, 14, 18, 20, 31, 35, 38, 40, 54, 55, 57)",[0.77849825],0.7784982458559648,"('X8', 'X15', 'X19', 'X21', 'X32', 'X36', 'X39', 'X41', 'X55', 'X56', 'X58')",,0.0,
12,"(7, 14, 18, 20, 25, 31, 35, 38, 40, 54, 55, 57)",[0.75730368],0.7573036835313594,"('X8', 'X15', 'X19', 'X21', 'X26', 'X32', 'X36', 'X39', 'X41', 'X55', 'X56', 'X58')",,0.0,
