,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(35,)",[0.49666949],0.4966694949511655,"('X36',)",,0.0,
2,"(22, 35)",[0.60863122],0.6086312205387734,"('X23', 'X36')",,0.0,
3,"(21, 22, 35)",[0.66308222],0.663082217389455,"('X22', 'X23', 'X36')",,0.0,
4,"(21, 22, 28, 35)",[0.69863475],0.6986347522032896,"('X22', 'X23', 'X29', 'X36')",,0.0,
5,"(11, 21, 22, 28, 35)",[0.70343732],0.703437315003673,"('X12', 'X22', 'X23', 'X29', 'X36')",,0.0,
6,"(0, 11, 21, 22, 28, 35)",[0.70133384],0.7013338386570278,"('X1', 'X12', 'X22', 'X23', 'X29', 'X36')",,0.0,
7,"(0, 11, 17, 21, 22, 28, 35)",[0.70443043],0.7044304279136204,"('X1', 'X12', 'X18', 'X22', 'X23', 'X29', 'X36')",,0.0,
8,"(0, 11, 16, 17, 21, 22, 28, 35)",[0.71347818],0.7134781794335261,"('X1', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X36')",,0.0,
9,"(0, 11, 16, 17, 21, 22, 28, 35, 54)",[0.71035093],0.7103509262206845,"('X1', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X36', 'X55')",,0.0,
10,"(0, 5, 11, 16, 17, 21, 22, 28, 35, 54)",[0.69361761],0.6936176127894195,"('X1', 'X6', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X36', 'X55')",,0.0,
11,"(0, 4, 5, 11, 16, 17, 21, 22, 28, 35, 54)",[0.69315649],0.693156493746154,"('X1', 'X5', 'X6', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X36', 'X55')",,0.0,
12,"(0, 4, 5, 10, 11, 16, 17, 21, 22, 28, 35, 54)",[0.70716068],0.707160678166924,"('X1', 'X5', 'X6', 'X11', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X36', 'X55')",,0.0,
13,"(0, 4, 5, 10, 11, 16, 17, 21, 22, 28, 29, 35, 54)",[0.70881511],0.7088151077060423,"('X1', 'X5', 'X6', 'X11', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X30', 'X36', 'X55')",,0.0,
14,"(0, 4, 5, 10, 11, 16, 17, 21, 22, 28, 29, 35, 44, 54)",[0.70231587],0.7023158657520656,"('X1', 'X5', 'X6', 'X11', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X30', 'X36', 'X45', 'X55')",,0.0,
15,"(0, 4, 5, 10, 11, 16, 17, 21, 22, 28, 29, 35, 37, 44, 54)",[0.68074287],0.6807428726671523,"('X1', 'X5', 'X6', 'X11', 'X12', 'X17', 'X18', 'X22', 'X23', 'X29', 'X30', 'X36', 'X38', 'X45', 'X55')",,0.0,
