,ytest,y_pred_lgb,y_pred_svr
6,5.14,4.224444380512944,3.460141900616657
10,3.1,4.224444380512944,3.8423520795693684
12,0.72,4.224444380512944,3.6146265907144612
27,3.82,4.224444380512944,3.2998916119276847
5,1.98,4.224444380512944,2.663719882064824
11,2.14,4.224444380512944,3.7136162937563033
18,5.62,4.224444380512944,3.857811501969831
31,10.7,4.224444380512944,4.08381687874326
13,3.11,4.224444380512944,3.3826424471702845
32,4.4,4.224444380512944,4.027938007070467
8,3.1,4.224444380512944,3.8123093123371126
