,ytest,y_pred_lgb,y_pred_svr
52,5.7,3.111229227260101,2.941033189151055
65,1.56,3.111229227260101,3.0567301705838754
38,1.65,3.111229227260101,2.408076251652447
31,3.03,3.111229227260101,2.493902169350804
53,4.7,3.0364537315988236,3.035851395886549
51,24.4,3.9536835709441096,3.616442424703754
1,2.27,2.8026273332314466,2.630304201503056
58,4.4,3.600027303550094,2.824244024917453
50,4.87,3.499036616321467,3.14651214824901
40,2.38,3.111229227260101,3.1148640023227148
41,0.72,3.0364537315988236,3.1562198694415113
48,4.21,3.0364537315988236,3.2376025798214703
34,7.66,3.111229227260101,2.5338115220021447
24,2.23,3.002958350538707,2.6423011433824755
43,3.0,3.0364537315988236,2.8497737380407586
23,1.68,3.0364537315988236,3.1007113232869234
6,2.14,3.111229227260101,2.980337462933786
60,2.53,2.8026273332314466,2.9554962950570847
26,10.6,3.9345501947794936,2.20866892960622
15,2.67,2.8026273332314466,2.863622314766793
