,ytest,y_pred_lgb,y_pred_svr
8,2.67,3.9397404005622203,2.2522801761816535
45,1.8,3.1264817262959,2.3301665112645
44,2.3,3.1264817262959,2.331491695086905
37,3.07,3.9397404005622203,2.4082404728175137
40,5.08,4.780112687239934,2.488633789375349
31,3.62,4.780112687239934,2.8030398656219244
9,2.5,3.9397404005622203,1.4570354176923077
29,5.65,3.9397404005622203,2.786504238240394
43,2.54,4.780112687239934,3.5427395895252807
1,1.82,4.780112687239934,2.4105724219299822
63,2.35,3.9397404005622203,2.503368698852714
69,1.65,3.9397404005622203,2.8734872789437214
23,0.52,3.9397404005622203,2.256855339094363
48,1.66,3.4679281640049324,2.3864120099438795
64,2.04,4.780112687239934,2.572799638909943
24,1.88,3.1264817262959,2.321147077613563
62,7.8,3.9397404005622203,2.86560409688195
65,1.28,4.780112687239934,2.4241841112955727
58,4.8,3.9397404005622203,2.2845544263550432
51,2.25,3.9397404005622203,2.9058885015451126
6,16.9,4.780112687239934,2.4609323600612063
