TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63
4.12,0.26303,0.27473,0.22,0.18717,0.56215,0.75547,0.79985,0.79346,0.74547,0.6313,0.26602,0.23517,0.2083,0.24027,0.2181,0.20055,0.14794,0.11734,0.09979,0.11693,0.10041,0.07776,0.24142,0.34793,0.34231,0.50247,0.33872,0.33906,0.68347,0.48058,0.40952,0.37228,0.41803,0.4897,0.24573,0.22498,0.21658,0.22359,0.43085,0.35989,0.35177,0.31087,0.37183,0.46661,0.58659,0.34398,0.49257,0.65914,0.43651,0.39003,0.33123,0.54542,0.39261,0.4885,0.2743,0.42665,0.45076,0.56779,0.46016,0.42087,0.42222,0.30686,0.37613
12.1,0.43128,0.41343,0.41161,0.34732,0.51977,0.55598,0.65688,0.50716,0.59448,0.58488,0.41811,0.41855,0.37097,0.41018,0.37067,0.37431,0.27247,0.25867,0.22018,0.247,0.2112,0.1961,0.3176,0.1569,0.20557,0.16255,0.17623,0.32936,0.5962,0.72623,0.58246,0.75525,0.63233,0.50059,0.41524,0.38132,0.38233,0.38972,0.16402,0.20007,0.70772,0.22238,0.55805,0.34322,0.73685,0.23856,0.61287,0.42012,0.63706,0.66568,0.20738,0.27811,0.6654,0.65132,0.35599,0.20606,0.28979,0.20158,0.26254,0.41029,0.20931,0.36254,0.43453
7.89,0.36374,0.38428,0.30839,0.23927,0.45198,0.68855,0.78254,0.76687,0.75928,0.66976,0.37233,0.3279,0.27454,0.33795,0.29048,0.26823,0.23045,0.18451,0.14647,0.18719,0.14963,0.11848,0.19499,0.2819,0.34409,0.43966,0.35844,0.41051,0.73938,0.55705,0.40761,0.43289,0.39706,0.41415,0.34414,0.30352,0.29439,0.30487,0.36448,0.37236,0.37685,0.34767,0.34392,0.35986,0.66817,0.38511,0.50678,0.53673,0.46437,0.39603,0.36132,0.42669,0.38875,0.52383,0.22341,0.35379,0.45272,0.50511,0.4818,0.4966,0.40535,0.37344,0.31367
3.78,0.31043,0.38869,0.33935,0.19489,0.31073,0.56885,0.81791,0.67894,0.84297,0.85544,0.35198,0.32916,0.22752,0.35778,0.26334,0.25608,0.20986,0.18106,0.11342,0.20321,0.12933,0.10994,0,0.11588,0.3902,0.33327,0.49388,0.70121,1,0.7902,0.36066,0.54509,0.27381,0.1734,0.34642,0.27081,0.28617,0.28983,0.22196,0.47389,0.36499,0.52115,0.19924,0.0504,0.95465,0.58696,0.5411,0.21555,0.52379,0.34926,0.52219,0.11933,0.30538,0.6256,0,0.15455,0.50224,0.39401,0.61888,0.76876,0.40557,0.58922,0.0887
2,0.25948,0.31802,0.18645,0.0685,0.41525,0.81853,0.98269,1,1,0.88859,0.28942,0.2122,0.12286,0.23915,0.15663,0.11823,0.16252,0.10307,0.05054,0.11415,0.0585,0.03717,0.05837,0.46471,0.87676,0.85495,1,0.94135,0.91726,0.36251,0.04829,0.09224,0,0.02976,0.24403,0.17542,0.16407,0.17848,0.6624,1,0.02343,0.93881,0,0.17571,0.59473,1,0.25584,0.45433,0.16762,0.00932,0.99004,0.47667,0,0.29202,0.06857,0.54767,0.91815,0.88462,1,0.95787,0.89749,0.71051,0
6.9,0.20498,0.20141,0.14129,0.12253,0.65819,0.84942,0.86381,0.87321,0.78947,0.64721,0.19888,0.16374,0.1455,0.16355,0.15039,0.12983,0.10309,0.07393,0.06326,0.07054,0.06142,0.04313,0.32696,0.5254,0.46525,0.69347,0.42807,0.34064,0.58584,0.30841,0.29323,0.20932,0.32957,0.48794,0.17349,0.15907,0.14509,0.15414,0.61975,0.47006,0.26336,0.38687,0.32403,0.58801,0.41476,0.40043,0.36748,0.79786,0.299,0.2746,0.41513,0.73861,0.30231,0.34744,0.36587,0.6069,0.5784,0.74638,0.55467,0.42259,0.57082,0.35374,0.38974
6.04,0.26422,0.23852,0.24581,0.2383,0.68079,0.70528,0.72084,0.62781,0.61864,0.54377,0.24568,0.2523,0.24502,0.2399,0.23838,0.24088,0.135,0.128,0.1211,0.1169,0.11175,0.10037,0.40933,0.2678,0.21781,0.26079,0.16116,0.23225,0.4979,0.57442,0.56451,0.62931,0.65695,0.61939,0.24573,0.24133,0.23872,0.24257,0.27207,0.19688,0.65308,0.18133,0.60007,0.51598,0.58023,0.18998,0.57003,0.61224,0.56828,0.64022,0.17692,0.46859,0.66032,0.57152,0.45147,0.33779,0.30512,0.31456,0.24227,0.29998,0.24537,0.26581,0.54075
5.86,0.38744,0.36219,0.34065,0.3589,0.5791,0.64994,0.61099,0.6135,0.52373,0.40716,0.36979,0.35714,0.36651,0.34731,0.36006,0.35055,0.23058,0.20756,0.2117,0.19465,0.19953,0.17454,0.35735,0.24171,0.14463,0.25891,0.10538,0.14324,0.55273,0.60765,0.681,0.63159,0.75749,0.74648,0.35694,0.36373,0.35196,0.35732,0.25669,0.12977,0.62718,0.09209,0.66563,0.60064,0.62846,0.11923,0.68319,0.73909,0.65314,0.7099,0.10037,0.5376,0.71477,0.65757,0.39775,0.30774,0.2105,0.31245,0.1639,0.19149,0.18706,0.09435,0.61853
3.92,0.09953,0.13781,0.07161,0.01688,0.61017,0.87387,0.96163,0.94683,0.91631,0.79443,0.11699,0.08145,0.03981,0.09618,0.05959,0.0395,0.05357,0.03198,0.01351,0.03623,0.01768,0.01009,0.13299,0.58819,0.8652,0.97467,0.93705,0.7763,0.81752,0.25686,0.05325,0.01532,0.02412,0.12423,0.09699,0.06492,0.06094,0.06677,0.7876,0.95742,0,0.84926,0.03738,0.33751,0.4726,0.8941,0.23179,0.63771,0.13058,0,0.91011,0.66856,0.0065,0.2403,0.1541,0.66577,0.91008,0.98042,0.96119,0.83097,0.94056,0.61811,0.08322
4.05,0.17299,0.17049,0.13419,0.0849,0.68079,0.82883,0.90218,0.82413,0.82657,0.73607,0.16734,0.14787,0.10947,0.14633,0.11513,0.10525,0.08357,0.06496,0.04462,0.06175,0.04352,0.033,0.334,0.47072,0.5749,0.60792,0.53249,0.53494,0.5781,0.35695,0.21068,0.27865,0.24416,0.29971,0.15273,0.12438,0.11894,0.1271,0.54893,0.58293,0.32418,0.55105,0.25911,0.39804,0.44843,0.54403,0.29608,0.54501,0.26623,0.23936,0.55675,0.54009,0.27085,0.31673,0.37329,0.55364,0.68077,0.66853,0.65463,0.6197,0.617,0.59559,0.27178
1.59,0.02962,0,0.01161,0,0.88418,0.91763,0.94357,0.818,0.81191,0.71751,0.00763,0.01796,0.00755,0.00299,0,0.00414,0.00365,0.00615,0.00228,0.00139,0,0.00097,0.65244,0.78026,0.79494,0.77269,0.59906,0.50886,0.26798,0.12206,0.08518,0.1498,0.19759,0.3221,0.00939,0.00297,0.00105,0.00537,0.79877,0.72497,0.38832,0.67263,0.30191,0.63035,0.1399,0.5751,0.10318,0.68879,0.09919,0.16413,0.65681,0.81213,0.26551,0.10959,0.69035,0.83199,0.85941,0.81555,0.71317,0.59477,0.81195,0.77904,0.38867
2.33,0.08886,0.11042,0.08452,0.00724,0.67232,0.83655,0.9699,0.84254,0.90682,0.84748,0.09664,0.08605,0.02986,0.09207,0.04368,0.0395,0.04353,0.03397,0.00962,0.03541,0.01209,0.00967,0.22689,0.47234,0.92887,0.70324,0.94321,1,0.70074,0.35546,0.0269,0.20175,0.02167,0,0.0913,0.05005,0.05441,0.05961,0.5949,0.99078,0.20364,1,0.05881,0.15694,0.49867,0.98818,0.17668,0.31272,0.15168,0.06099,1,0.38735,0.08256,0.23733,0.25847,0.55524,0.95369,0.75505,0.96508,1,0.85659,0.92883,0.03768
2.47,0,0.00883,0,0.00145,0.78531,0.90862,0.9225,0.87526,0.81795,0.68966,0,0,0,0,0.00406,0,0,0,0,0,0.00112,0,0.35081,0.75188,0.67253,1,0.61999,0.39788,0.5598,0.14009,0.14949,0,0.18402,0.42693,0,0,0,0,0.8905,0.68019,0.1038,0.54228,0.21634,0.69543,0.27585,0.54341,0.2396,0.96175,0.14592,0.10446,0.59083,0.97648,0.14837,0.20585,0.39091,0.80865,0.76407,1,0.73082,0.4835,0.81999,0.42197,0.34342
