TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.43,0.2671,0.26682,0.33872,0.47386,0.66561,0.49155,0.32732,0.26452,0.27126,0.35994,0.25238,0.3016,0.39312,0.30673,0.38417,0.40789,0.16587,0.19376,0.25561,0.1891,0.24701,0.26034,0.34733,0.12025,0.09313,0.04179,0.15759,0.32123,0.5951,0.79262,0.81384,0.93541,0.69412,0.479,0.28959,0.3504,0.36822,0.34693,0.08405,0.11825,0.69654,0.21296,0.62571,0.34223,0.73344,0.24861,0.76221,0.36534,0.99692,0.8579,0.19992,0.26888,0.7871,0.92391,0.37304,0.15768,0.1254,0.05279,0.21642,0.40384,0.01308,0.36607,0.46476,1
7.39,0.40065,0.37444,0.36208,0.17309,0.62102,0.58615,0.88531,0.49032,0.87449,0.90711,0.37347,0.36546,0.23897,0.36758,0.26032,0.26535,0.26773,0.25193,0.16055,0.23922,0.15984,0.15428,0.37557,0.25354,0.76505,0.22062,0.80898,0.9411,0.56529,0.606,0.12118,0.69049,0.0911,0.02651,0.36856,0.28479,0.29603,0.30773,0.23835,0.78691,0.49408,0.90018,0.06889,0,0.58363,0.92457,0.18756,0.01,0.32798,0.24331,0.9031,0.03736,0.21431,0.34688,0.40209,0.31749,0.81969,0.26567,0.86212,0.95811,0.59562,0.92723,0.01052,1
16,0.5456,0.4148,0.38634,0.57412,0.78981,0.69088,0.39691,0.51935,0.2915,0.26705,0.4585,0.43406,0.55817,0.399,0.5051,0.48246,0.3509,0.31808,0.43715,0.26652,0.36358,0.32551,0.73431,0.39051,0.2549,0.24047,0.2227,0.28157,0.22058,0.44915,0.56755,0.66606,0.59704,0.52611,0.42741,0.50967,0.46343,0.47307,0.32128,0.22753,0.6322,0.27271,0.60487,0.51777,0.3566,0.2657,0.48146,0.50033,0.61913,0.68164,0.2645,0.49396,0.68347,0.53313,0.75551,0.46737,0.32322,0.28808,0.29727,0.35937,0.21071,0.41971,0.55088,1
5.35,0.89739,0.74888,0.69182,0.54499,0.52866,0.48142,0.71907,0.38387,0.73954,0.80987,0.80816,0.76286,0.66246,0.71721,0.63332,0.61667,0.74868,0.69001,0.5879,0.60589,0.5173,0.48283,0.52237,0.25106,0.61814,0.14815,0.6151,0.78483,0.41697,0.60913,0.21713,0.78407,0.20988,0.10658,0.75803,0.6917,0.65385,0.69173,0.20358,0.6117,0.64153,0.73832,0.20598,0.07095,0.53907,0.7374,0.23515,0.05447,0.40918,0.37962,0.72104,0.0724,0.36585,0.38935,0.55012,0.31465,0.69324,0.18186,0.70233,0.83925,0.46178,0.85623,0.11591,1
6.78,0.87785,0.71413,0.66667,0.57241,0.58917,0.50845,0.66237,0.37419,0.65452,0.72279,0.77891,0.73921,0.67393,0.68778,0.6338,0.61842,0.71194,0.65998,0.59914,0.56976,0.51725,0.48449,0.58628,0.2678,0.56038,0.14247,0.5407,0.70379,0.35564,0.5882,0.26048,0.7917,0.26503,0.15478,0.73055,0.68752,0.64533,0.68133,0.20997,0.54384,0.67666,0.66371,0.26886,0.12264,0.50392,0.6551,0.25785,0.09836,0.43457,0.43086,0.64321,0.11518,0.42421,0.39993,0.61307,0.33374,0.64022,0.17516,0.63478,0.77277,0.41871,0.80579,0.17445,1
5.94,0.65635,0.61323,0.50404,0.57926,0.44268,0.58446,0.4768,0.66774,0.52227,0.44848,0.62517,0.55174,0.60057,0.55262,0.59398,0.54254,0.52136,0.43749,0.49486,0.4155,0.46916,0.39511,0.29568,0.2976,0.34986,0.32492,0.42597,0.4514,0.65072,0.55218,0.45485,0.56748,0.36389,0.34589,0.57298,0.60485,0.56242,0.57493,0.31021,0.38472,0.35056,0.41584,0.3087,0.30958,0.57016,0.46491,0.47931,0.36477,0.57764,0.4427,0.43841,0.3442,0.38882,0.57572,0.31945,0.36719,0.42898,0.38087,0.52281,0.54081,0.34717,0.49518,0.29198,1
6.09,0.92834,0.73543,0.68194,0.51757,0.62739,0.53209,0.78479,0.38065,0.76653,0.84035,0.81293,0.76759,0.65501,0.70574,0.61195,0.59781,0.75711,0.69827,0.58141,0.59169,0.49286,0.46152,0.65171,0.29195,0.69035,0.14625,0.63994,0.815,0.29478,0.55889,0.16763,0.78661,0.1928,0.08989,0.75648,0.68221,0.63651,0.68213,0.22472,0.6581,0.70129,0.79178,0.21332,0.07604,0.46262,0.76642,0.16887,0.03754,0.34273,0.36539,0.76525,0.07612,0.37319,0.3104,0.6766,0.3609,0.75684,0.17963,0.72407,0.86312,0.50543,0.91745,0.12224,1
5.2,1,0.80045,0.73765,0.64267,0.5828,0.50169,0.65335,0.36774,0.64777,0.71843,0.88231,0.83028,0.7639,0.76559,0.71102,0.68904,0.85015,0.78288,0.71604,0.66736,0.60954,0.56777,0.62451,0.27918,0.57296,0.141,0.54069,0.70496,0.31985,0.57426,0.25073,0.79369,0.26503,0.15405,0.81998,0.77626,0.72037,0.7648,0.21542,0.54949,0.69541,0.67073,0.27574,0.12759,0.48212,0.65568,0.24233,0.09699,0.41945,0.43153,0.64769,0.11893,0.43096,0.38051,0.6503,0.34659,0.65194,0.17342,0.63478,0.77375,0.42579,0.81728,0.18046,1
3.33,0.41368,0.40583,0.45373,0.46358,0.55732,0.42736,0.45876,0.25161,0.45479,0.56313,0.39796,0.43051,0.43782,0.43242,0.43856,0.45877,0.28883,0.3063,0.31499,0.29657,0.30672,0.31472,0.28599,0.10822,0.25439,0.05189,0.33326,0.52795,0.66133,0.8115,0.56821,0.92024,0.45925,0.28008,0.42199,0.427,0.44388,0.43493,0.08223,0.28962,0.65594,0.41031,0.39582,0.157,0.76859,0.45055,0.57456,0.17824,0.80266,0.64551,0.39723,0.11183,0.57777,0.76993,0.30932,0.14251,0.32263,0.06538,0.42462,0.61551,0.1598,0.56834,0.25326,0
13.4,0.41042,0.3296,0.36119,0.62554,0.76752,0.59797,0.21263,0.36452,0.10796,0.13933,0.35034,0.36842,0.54499,0.34713,0.49733,0.49649,0.2495,0.2549,0.39729,0.22202,0.34177,0.3313,0.63086,0.26816,0.08469,0.12335,0.08969,0.19366,0.31397,0.58776,0.82913,0.81778,0.81162,0.64434,0.35501,0.47213,0.44956,0.4392,0.20134,0.07619,0.71939,0.1373,0.7862,0.56409,0.49041,0.14688,0.71572,0.56143,0.90615,0.92205,0.12406,0.49128,0.89274,0.79533,0.65646,0.33414,0.1144,0.15243,0.127,0.25582,0.01644,0.28041,0.66475,0
