TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,,,,
1.86,0.9705,0.93832,0.74194,0.31715,0.43678,0.67877,0.95371,1,0.94307,0.89046,0.9558,0.84421,0.63552,0.86536,0.68291,0.63603,0.93722,0.78043,0.76648,0.79419,0.66842,0.60893,0.68508,0.52748,0.86612,0.52891,0.73571,0.7477,0.25178,0.34962,0.03284,0.37275,0.06894,0.06675,0.90046,0.85858,0.7909,0.85898,0.5056,0.78977,0.37311,0.80799,0.10398,0.13144,0.32106,0.74523,0.03158,0.12419,0.05887,0.07551,0.77926,0.17677,0.11003,0.08094,0.71346,0.58825,0.9155,0.58251,0.84107,0.83942,0.89122,0.8489,0.11095,3.23227,-4.24785,10.71239,1
1.82,0.33923,0.44484,0.35484,0.14029,0.3908,0.52235,0.87478,0.83206,0.87486,0.84698,0.39908,0.3516,0.2428,0.41197,0.31027,0.28972,0.26915,0.22267,0.2165,0.27428,0.23698,0.21542,0.20906,0.31406,0.62395,0.62918,0.65277,0.62751,0.73472,0.56723,0.11692,0.28224,0.0988,0.11175,0.394,0.35989,0.36603,0.37359,0.44282,0.64082,0.03642,0.63001,0.09035,0.14217,0.68511,0.64498,0.17203,0.18136,0.17301,0.09294,0.63906,0.20116,0.08469,0.2438,0.23227,0.36946,0.73535,0.67831,0.78137,0.74821,0.76166,0.66499,0.1082,0.3494,-7.30672,8.00553,1
4.89,0.82596,0.76512,0.69303,0.30216,0.62069,0.53631,0.91039,0.62214,0.87486,0.87804,0.79485,0.75493,0.56871,0.75432,0.59329,0.59865,0.71553,0.65745,0.65434,0.65033,0.55285,0.55888,0.76983,0.41376,0.7766,0.32897,0.63587,0.72409,0.17957,0.45953,0.05944,0.57644,0.10557,0.07473,0.77926,0.74081,0.70537,0.75747,0.33668,0.69421,0.58547,0.75343,0.14761,0.12188,0.35661,0.67931,0.04887,0.10245,0.10145,0.13889,0.7067,0.13943,0.17984,0.1135,0.79288,0.47458,0.85341,0.37858,0.76851,0.82235,0.77304,0.85481,0.12932,5.02048,-2.55643,12.59739,1
3.04,0.42478,0.56346,0.5307,0.09592,0.22989,0.21229,0.95312,0.5687,0.97294,0.98419,0.5033,0.49138,0.23411,0.56674,0.3239,0.33904,0.36465,0.3452,0.21401,0.42996,0.24193,0.25992,0.1505,0.07901,0.83417,0.33459,0.88744,1,0.80515,0.87492,0.04184,0.57024,0.02548,0,0.5302,0.39667,0.44253,0.45487,0.15713,0.86536,0.23805,0.92915,0.01305,0,0.91252,0.94329,0.10711,0.03273,0.15024,0.05892,0.91257,0.024,0.04605,0.22995,0.16859,0.09893,0.89389,0.38457,0.93745,1,0.82353,0.88907,0,2.15363,-5.35921,9.66647,1
5.02,0.62094,0.59786,0.51301,0.18885,0.62835,0.63128,0.94006,0.74427,0.90192,0.88707,0.61016,0.56281,0.39055,0.57365,0.42034,0.4107,0.48963,0.42756,0.39883,0.43557,0.34715,0.33624,0.67268,0.46906,0.81772,0.46489,0.6972,0.7337,0.26265,0.4045,0.04668,0.43438,0.08216,0.07143,0.59059,0.53546,0.50804,0.55124,0.43951,0.74716,0.41633,0.77783,0.11585,0.12709,0.36083,0.71759,0.04642,0.11924,0.08066,0.0968,0.74578,0.16358,0.12983,0.10295,0.70169,0.53065,0.88253,0.51915,0.81403,0.82935,0.84129,0.83844,0.11534,3.59031,-3.88825,11.06887,1
3.51,0.56047,0.5433,0.45786,0.17626,0.64751,0.6648,0.92819,0.77099,0.88782,0.869,0.55277,0.50493,0.35687,0.51669,0.38522,0.37227,0.427,0.36668,0.35497,0.3755,0.31076,0.29582,0.65525,0.49584,0.78437,0.51135,0.67295,0.69025,0.27806,0.37894,0.05695,0.38934,0.09105,0.08685,0.53228,0.48818,0.46097,0.49952,0.47896,0.71914,0.37011,0.73881,0.123,0.14585,0.35191,0.68452,0.05832,0.1406,0.08638,0.09957,0.71263,0.18804,0.131,0.11013,0.68508,0.55726,0.85899,0.5653,0.79641,0.79719,0.83205,0.80345,0.12797,3.18906,-4.25626,10.63438,1
16.9,0.28024,0.30486,0.28616,1,0.68966,0.59497,0,0.63359,0,0,0.29485,0.28633,1,0.3061,1,1,0.18693,0.17096,0.85806,0.18771,0.8048,0.74116,0.48166,0.38003,0,0.4934,0,0,0.44065,0.49469,1,0.40654,1,1,0.30071,0.91856,0.85641,0.76229,0.4062,0,0.28812,0,1,1,0.50132,0,1,1,1,1,0,1,1,1,0.51541,0.43961,0,0.54758,0,0,0,0,1,14.67077,5.79729,23.54424,1
4.79,0.97788,0.92171,1,0.35671,0.50958,0,0.91751,0,0.89797,0.99322,0.94987,1,0.67409,1,0.71017,0.79907,0.93021,1,0.83067,1,0.7104,0.84288,0.74341,0.13151,0.80184,0,0.66419,0.9236,0.20171,0.79851,0.0515,1,0.09437,0.01723,1,0.88354,0.90859,0.95695,0.00686,0.72125,0.91502,0.87284,0.13423,0.02438,0.58114,0.78521,0.04378,0,0.14736,0.18435,0.78989,0,0.22215,0.15978,0.76831,0.16233,0.87141,0,0.78992,0.9552,0.68602,1,0.07019,7.84454,-0.44617,16.13525,1
0.62,0.14749,0.13286,0.19875,0.28058,0.90038,0.57821,0.65875,0.40076,0.5947,0.63015,0.13984,0.17919,0.29929,0.17434,0.29507,0.33333,0.0786,0.09549,0.21947,0.09599,0.19065,0.21704,0.6554,0.31952,0.23985,0.28903,0.19652,0.24568,0.27793,0.56102,0.41046,0.62138,0.45731,0.39421,0.16785,0.29028,0.2958,0.27433,0.26393,0.21448,0.55873,0.24459,0.48272,0.41261,0.46687,0.21985,0.40395,0.39819,0.45073,0.49244,0.22548,0.41102,0.51693,0.45774,0.68523,0.37536,0.34572,0.33564,0.3174,0.36488,0.30397,0.37557,0.44489,7.41488,-0.202,15.03175,0
1.14,0.83186,0.96204,0.86264,0.55516,0,0.09218,0.66231,0.63359,0.73055,0.73179,0.90699,0.85776,0.80011,0.94361,0.90147,0.90239,0.85161,0.78792,1,0.91291,1,1,0.30438,0.14061,0.46465,0.30265,0.46866,0.54787,0.6259,0.78576,0.20198,0.60588,0.18941,0.14887,0.91795,1,1,1,0.17365,0.467,0.35208,0.51262,0.18794,0.1514,0.7721,0.50709,0.24207,0.16859,0.28823,0.22566,0.49514,0.16386,0.22357,0.34158,0.33369,0.17314,0.59242,0.35037,0.62642,0.68127,0.55002,0.62894,0.16454,3.31934,-4.1068,10.74547,0
