TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
3.34,0.30687,0.32686,0.29355,0.25181,0.5,0.6383,0.72686,0.64912,0.68076,0.61548,0.31485,0.29825,0.26699,0.30501,0.27832,0.26906,0.18396,0.16019,0.13773,0.16223,0.14037,0.11872,0.20221,0.20735,0.24931,0.29231,0.30809,0.46221,0.73054,0.64799,0.51725,0.57791,0.41536,0.29601,0.30546,0.28196,0.28132,0.28518,0.2483,0.29273,0.47114,0.36359,0.39293,0.24287,0.72721,0.38182,0.57519,0.29262,0.57093,0.51896,0.34822,0.25798,0.49816,0.61735,0.23138,0.27005,0.34475,0.35715,0.43929,0.577,0.29644,0.55624,0.28957,1
8.38,0.22867,0.19258,0.16581,0.15002,0.74294,0.8035,0.83597,0.73879,0.73167,0.63226,0.20397,0.18797,0.17193,0.17403,0.16505,0.15608,0.10732,0.08804,0.07799,0.07696,0.06938,0.05497,0.4833,0.45289,0.40905,0.43347,0.36472,0.44794,0.42352,0.36778,0.33953,0.425,0.35527,0.30814,0.18714,0.17567,0.16301,0.17293,0.44353,0.39948,0.48502,0.43882,0.40255,0.36422,0.3804,0.40858,0.34819,0.36663,0.34925,0.41145,0.41727,0.41225,0.45567,0.362,0.52627,0.53932,0.52303,0.50719,0.50252,0.5629,0.45722,0.64321,0.35639,1
6.23,0.21564,0.13163,0.07161,0.03956,0.90678,0.97247,1,0.88889,0.86972,0.73935,0.16328,0.12239,0.08957,0.09356,0.07207,0.05249,0.08271,0.0504,0.03367,0.03522,0.02393,0.01427,0.78854,0.9526,1,0.81942,0.73669,0.63629,0.15561,0.0234,0,0.11082,0.10158,0.1712,0.12287,0.09911,0.06938,0.09148,0.88841,0.89389,0.368,0.84447,0.2491,0.47203,0,0.70779,0,0.41361,0,0.07827,0.8177,0.64279,0.21023,0,0.8158,0.96601,1,0.85923,0.83116,0.73521,1,0.94452,0.30935,1
6.33,0.3673,0.33834,0.30387,0.17849,0.60734,0.6821,0.87961,0.64327,0.82312,0.83226,0.34741,0.32623,0.23233,0.31587,0.23495,0.23149,0.21212,0.18351,0.11808,0.17034,0.11058,0.0951,0.37899,0.2861,0.53255,0.2858,0.50882,0.73524,0.52964,0.54579,0.238,0.58561,0.23394,0.11515,0.32821,0.26016,0.25538,0.27229,0.28596,0.54345,0.57248,0.65454,0.27406,0.12271,0.56347,0.61828,0.29405,0.12453,0.35409,0.36531,0.60754,0.15305,0.39222,0.38614,0.42023,0.36174,0.64347,0.34992,0.64573,0.81507,0.48043,0.88666,0.16461,1
5.71,0.47156,0.41696,0.39548,0.25181,0.60452,0.61452,0.83145,0.53996,0.76877,0.81935,0.43744,0.42231,0.31469,0.40232,0.31014,0.31271,0.29182,0.26544,0.18046,0.24048,0.16435,0.1487,0.43575,0.23818,0.45304,0.19032,0.41821,0.68939,0.47085,0.60633,0.30051,0.70639,0.3056,0.14002,0.41894,0.34167,0.33615,0.35661,0.21512,0.45208,0.71052,0.58913,0.34888,0.12249,0.58599,0.54541,0.32913,0.10469,0.41727,0.47109,0.53004,0.1186,0.50103,0.43159,0.47841,0.3066,0.56751,0.24022,0.55845,0.77889,0.38901,0.87981,0.20166,1
12.4,0.3128,0.27562,0.25613,0.18283,0.67797,0.71715,0.83822,0.64912,0.7541,0.72516,0.28789,0.27611,0.21963,0.2616,0.2156,0.21354,0.16583,0.14578,0.10858,0.1314,0.09885,0.08517,0.43819,0.31895,0.43518,0.29211,0.40176,0.58728,0.46839,0.50696,0.31593,0.57814,0.32021,0.20253,0.27389,0.2334,0.2267,0.23971,0.30602,0.43395,0.59746,0.52595,0.36213,0.21279,0.50757,0.49114,0.34102,0.20715,0.38841,0.437,0.48519,0.23223,0.47012,0.40535,0.48088,0.39844,0.54967,0.35693,0.54163,0.6931,0.42164,0.77412,0.25775,1
9.18,0.36137,0.3083,0.28129,0.14809,0.68927,0.71965,0.92325,0.64522,0.84814,0.86839,0.32757,0.30952,0.20899,0.29004,0.20468,0.20442,0.19695,0.17115,0.10231,0.1513,0.09114,0.07921,0.48277,0.33652,0.64116,0.28766,0.56468,0.80844,0.42405,0.48702,0.16608,0.58341,0.19606,0.07888,0.30717,0.23489,0.22754,0.24776,0.31297,0.62665,0.62598,0.74947,0.26396,0.11426,0.47348,0.68287,0.20719,0.09223,0.28562,0.33185,0.68808,0.1465,0.38227,0.30526,0.52574,0.4177,0.73894,0.35199,0.69534,0.87009,0.54257,0.99201,0.15493,1
18.3,0.56872,0.52827,0.54387,0.53835,0.48023,0.42929,0.4462,0.33723,0.36497,0.34968,0.54323,0.55263,0.54667,0.53555,0.53479,0.54033,0.39615,0.39119,0.38298,0.36712,0.3603,0.34953,0.35622,0.10525,0.09046,0.06156,0.11808,0.33991,0.55396,0.80368,0.78155,0.89607,0.70263,0.41239,0.54352,0.54039,0.53648,0.54135,0.08419,0.10469,0.83714,0.2167,0.67669,0.29696,0.77449,0.21756,0.74287,0.29604,0.7991,0.88256,0.17987,0.22136,0.8639,0.78816,0.39656,0.14263,0.13612,0.08108,0.19066,0.44972,0.08385,0.47141,0.45519,1
4.95,0.36493,0.30919,0.25355,0.30487,0.69492,0.77722,0.68096,0.73099,0.56859,0.39355,0.3296,0.29282,0.32155,0.27433,0.3064,0.28232,0.19866,0.15922,0.17827,0.14,0.15836,0.12418,0.49244,0.42667,0.21448,0.39476,0.19503,0.25842,0.41462,0.39286,0.56583,0.4644,0.56629,0.50909,0.29608,0.3164,0.28722,0.29896,0.41129,0.20777,0.52503,0.23792,0.5881,0.5254,0.3962,0.22675,0.52993,0.5329,0.50252,0.60778,0.22509,0.53598,0.63828,0.49723,0.53538,0.51278,0.30195,0.46732,0.29888,0.35612,0.28623,0.41986,0.53843,1
1.43,0.30924,0.29682,0.30258,0.36903,0.60169,0.62328,0.54552,0.55556,0.44176,0.32,0.29858,0.30493,0.35106,0.29753,0.34353,0.34006,0.17297,0.16481,0.19019,0.15649,0.18149,0.16387,0.33137,0.18961,0.06314,0.18725,0.09886,0.23599,0.58099,0.67301,0.84076,0.71053,0.74251,0.53916,0.30034,0.33424,0.32834,0.32546,0.18847,0.0806,0.65842,0.14766,0.70591,0.44421,0.68405,0.16089,0.7983,0.46786,0.78583,0.84938,0.13034,0.39219,0.82836,0.78136,0.37052,0.24863,0.09647,0.23658,0.1618,0.32897,0.09775,0.32778,0.55568,1
