TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.12,0.46719,0.57338,0.47831,0.15131,0.22464,0.51904,0.91126,0.71386,0.9442,0.89809,0.52599,0.46803,0.26267,0.52018,0.30669,0.30491,0.35238,0.2943,0.18075,0.34587,0.21057,0.20624,0.24494,0.37405,0.60344,0.39141,0.7655,0.72343,0.65579,0.4364,0.10821,0.43475,0.05382,0.06217,0.50522,0.37955,0.40932,0.44295,0.3991,0.68509,0.35497,0.74673,0.04056,0.10272,0.55881,0.83569,0.1678,0.12131,0.20489,0.09574,0.76416,0.15619,0.05885,0.24104,0.28621,0.46495,0.73987,0.4895,0.86631,0.82924,0.63289,0.71337,0.05636,1
2.27,0.53281,0.59954,0.51941,0.23213,0.32246,0.54709,0.84957,0.67552,0.86551,0.83384,0.57064,0.52142,0.35233,0.55421,0.38069,0.38891,0.40299,0.34772,0.26982,0.38259,0.29202,0.29126,0.36004,0.41109,0.4839,0.35038,0.57292,0.56575,0.52348,0.39862,0.16452,0.47839,0.12158,0.11746,0.549,0.4617,0.48577,0.52282,0.39177,0.52309,0.43374,0.59085,0.11693,0.15946,0.47133,0.63249,0.19784,0.1609,0.24951,0.16358,0.58797,0.1982,0.1362,0.25992,0.41017,0.50375,0.63669,0.44571,0.72698,0.70751,0.52734,0.64596,0.13616,1
1.68,0.65486,0.66553,0.51256,0.30015,0.44928,0.74549,0.82522,0.86431,0.82087,0.76155,0.663,0.57542,0.4491,0.5842,0.45825,0.44435,0.51354,0.40456,0.38639,0.40999,0.38414,0.34653,0.51648,0.63048,0.47033,0.46538,0.50004,0.43905,0.36653,0.21333,0.17214,0.36235,0.15658,0.18136,0.60723,0.56187,0.55091,0.60562,0.57093,0.47663,0.42951,0.51291,0.16843,0.25668,0.27689,0.52083,0.17746,0.24244,0.21239,0.17465,0.50961,0.30742,0.16457,0.20213,0.56902,0.71275,0.62402,0.56481,0.66501,0.59236,0.54104,0.58839,0.2209,1
3.1,0.38845,0.43572,0.49658,0.25875,0.44565,0.36673,0.76082,0.30973,0.75502,0.79669,0.41529,0.44072,0.32886,0.45963,0.34507,0.40319,0.25079,0.26525,0.22862,0.2923,0.24821,0.30303,0.35498,0.20394,0.31018,0.1368,0.37859,0.49003,0.52897,0.64363,0.29109,0.75736,0.23357,0.15286,0.43896,0.39237,0.44806,0.45846,0.15735,0.33474,0.60852,0.44926,0.21885,0.15444,0.63207,0.47068,0.31858,0.145,0.42881,0.31143,0.41988,0.15082,0.27552,0.42042,0.40485,0.27143,0.45665,0.19112,0.54737,0.64081,0.32423,0.58391,0.19296,1
3.36,0.14567,0.15927,0.13014,0.00296,0.6558,0.63928,0.94156,0.53982,0.90904,0.89608,0.15352,0.12663,0.03393,0.13437,0.04353,0.0504,0.06633,0.04941,0.01633,0.0538,0.01846,0.02363,0.34203,0.55435,0.68487,0.51364,0.80894,0.68446,0.54315,0.27112,0.07831,0.31898,0.04201,0.07402,0.13815,0.06412,0.07679,0.08748,0.56357,0.74716,0.32459,0.77186,0.04182,0.14576,0.39842,0.84287,0.1197,0.15866,0.13681,0.06523,0.79771,0.21888,0.04109,0.16268,0.39119,0.64399,0.80245,0.61158,0.89366,0.80109,0.72857,0.71449,0.07889,1
3.24,0.03543,0.03754,0.04566,0.13504,0.73913,0.61924,0.75108,0.44248,0.69978,0.7244,0.0367,0.02855,0.11102,0.02999,0.10724,0.13188,0.01305,0.00919,0.03729,0.00985,0.04302,0.04523,0.30444,0.51387,0.10493,0.49932,0.15643,0.12497,0.58542,0.30446,0.61165,0.33156,0.50032,0.54834,0.03173,0.09081,0.10662,0.08836,0.5348,0.11629,0.31589,0.12939,0.45682,0.56838,0.44009,0.1413,0.63187,0.57271,0.65306,0.47515,0.13023,0.59032,0.42466,0.62896,0.35107,0.60586,0.17973,0.59788,0.26905,0.20959,0.17333,0.19018,0.57329,1
2.14,0.35696,0.45734,0.57534,0.40266,0.28986,0.18036,0.58983,0.16224,0.60268,0.68474,0.41223,0.46865,0.44114,0.51038,0.46814,0.55481,0.24429,0.28307,0.30773,0.34222,0.36671,0.47704,0.19823,0.04336,0.14727,0.05036,0.2309,0.36411,0.71426,0.91078,0.5167,0.90317,0.38212,0.23243,0.46466,0.49185,0.57833,0.56261,0.02481,0.17711,0.63149,0.28608,0.33538,0.19778,0.89286,0.31225,0.56465,0.19595,0.7078,0.4688,0.25785,0.17183,0.4065,0.69799,0.23407,0.06184,0.24403,0.07327,0.3734,0.51529,0.16329,0.42541,0.28331,1
3.86,0.37139,0.38794,0.3984,0.14342,0.55072,0.51303,0.88041,0.43953,0.86217,0.87098,0.38165,0.37927,0.22539,0.38581,0.23585,0.26879,0.22348,0.21471,0.14474,0.22508,0.14897,0.17168,0.43932,0.3514,0.50871,0.2392,0.56894,0.63234,0.44096,0.46063,0.15133,0.6114,0.12333,0.09158,0.38233,0.2922,0.32396,0.34874,0.29337,0.53253,0.55332,0.64195,0.12839,0.12532,0.47199,0.6645,0.17085,0.11365,0.25179,0.18812,0.61784,0.14561,0.16849,0.24895,0.492,0.44068,0.65932,0.31914,0.72374,0.76152,0.5028,0.72006,0.12358,1
2.62,0.19816,0.24005,0.23516,0.19961,0.54348,0.53507,0.74729,0.47788,0.726,0.74197,0.22141,0.20857,0.21785,0.22837,0.22952,0.25661,0.10455,0.09309,0.117,0.10821,0.13539,0.14306,0.26532,0.34155,0.20871,0.34092,0.2873,0.29278,0.63118,0.47146,0.41178,0.48883,0.31534,0.2952,0.21968,0.2409,0.26945,0.2636,0.35177,0.23695,0.39834,0.28183,0.28257,0.30809,0.5697,0.31084,0.45076,0.31516,0.50259,0.33776,0.27866,0.32794,0.29019,0.5022,0.30862,0.42998,0.3302,0.43541,0.4445,0.43458,0.28226,0.3774,0.32294,1
1.28,0.66929,0.78612,0.69521,0.41104,0.10507,0.44689,0.70942,0.70501,0.75446,0.72892,0.73456,0.68156,0.54797,0.7376,0.58924,0.60605,0.59524,0.52959,0.50347,0.60168,0.56193,0.56712,0.30393,0.33702,0.33884,0.30953,0.42797,0.44554,0.586,0.4765,0.26485,0.52459,0.19883,0.17748,0.71847,0.68042,0.71923,0.75249,0.33003,0.37534,0.43815,0.44107,0.18068,0.20059,0.55141,0.47875,0.30377,0.20471,0.36378,0.24028,0.43534,0.22642,0.20237,0.3715,0.35052,0.42503,0.48925,0.40061,0.59759,0.5987,0.40029,0.53373,0.19909,1
