TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.43,0.34114,0.29828,0.37733,0.32976,0.66561,0.49155,0.69094,0.25,0.64543,0.73123,0.31739,0.36505,0.41282,0.34248,0.38833,0.41885,0.20542,0.22739,0.2757,0.20752,0.25033,0.26876,0.53601,0.12025,0.35596,0.04179,0.29948,0.46437,0.37514,0.79262,0.28442,0.93541,0.32529,0.19645,0.34277,0.37732,0.38433,0.37732,0.08405,0.32289,0.73568,0.4168,0.35231,0.18483,0.71395,0.37572,0.30522,0.16455,0.39187,0.41896,0.37016,0.14854,0.444,0.40434,0.5757,0.15768,0.48068,0.05279,0.44835,0.60462,0.36006,0.60895,0.25909,1
7.39,0.4612,0.40129,0.39932,0.12045,0.62102,0.58615,0.94731,0.46341,0.89741,0.9441,0.42795,0.42312,0.2667,0.40019,0.26532,0.27895,0.30245,0.28313,0.18321,0.25651,0.16354,0.1639,0.55609,0.25354,0.82773,0.22062,0.7063,0.88082,0.35635,0.606,0.04372,0.69049,0.07894,0.02788,0.41583,0.31443,0.31398,0.33994,0.23835,0.75664,0.55934,0.86186,0.11257,0.04982,0.56812,0.78916,0.07511,0.03485,0.12892,0.13787,0.80002,0.04817,0.17006,0.15181,0.59536,0.31749,0.88946,0.26567,0.82052,0.92876,0.73779,0.94716,0.07466,1
5.35,0.90776,0.75966,0.70981,0.37925,0.52866,0.48142,0.87093,0.3628,0.84104,0.90627,0.82484,0.78441,0.66812,0.73179,0.63579,0.62376,0.7606,0.70294,0.59903,0.61485,0.51943,0.48871,0.66045,0.25106,0.72458,0.14815,0.58521,0.77583,0.26284,0.60913,0.07707,0.78407,0.12747,0.05771,0.77615,0.70447,0.66267,0.70608,0.20358,0.64299,0.68777,0.75704,0.17159,0.07781,0.52475,0.67468,0.09416,0.05108,0.16084,0.20021,0.68873,0.06336,0.24253,0.1704,0.69554,0.31465,0.81501,0.18186,0.72842,0.85925,0.651,0.90437,0.11745,1
6.78,0.89019,0.72639,0.68613,0.39833,0.58917,0.50845,0.84488,0.35366,0.80552,0.87239,0.79814,0.7629,0.67898,0.70388,0.63628,0.62548,0.7256,0.67416,0.60996,0.57954,0.51938,0.49036,0.70589,0.2678,0.68402,0.14247,0.53874,0.72139,0.22419,0.5882,0.09213,0.7917,0.14999,0.07566,0.75072,0.70047,0.65438,0.69616,0.20997,0.59897,0.71837,0.70872,0.19867,0.0982,0.49053,0.62434,0.10325,0.0671,0.17082,0.22365,0.64114,0.08191,0.27044,0.17503,0.73815,0.33374,0.7838,0.17516,0.68949,0.82037,0.62307,0.87397,0.14122,1
5.94,0.69107,0.62983,0.53299,0.4031,0.44268,0.58446,0.75962,0.6311,0.75028,0.76567,0.65776,0.59247,0.60945,0.57569,0.59672,0.55101,0.54405,0.46095,0.50849,0.42878,0.4715,0.40199,0.4993,0.2976,0.53621,0.32492,0.46709,0.55182,0.4102,0.55218,0.15967,0.56748,0.19038,0.14686,0.60494,0.62123,0.57358,0.59471,0.31021,0.49575,0.43433,0.54819,0.21582,0.17195,0.55501,0.50801,0.19193,0.16434,0.22706,0.22906,0.51595,0.18119,0.25352,0.25196,0.53943,0.36719,0.65942,0.38087,0.62495,0.68472,0.57669,0.68676,0.18894,1
6.09,0.93558,0.74678,0.70051,0.36017,0.62739,0.53209,0.90112,0.35976,0.85231,0.91813,0.82919,0.78871,0.66105,0.72091,0.61457,0.60525,0.76863,0.71085,0.59271,0.60097,0.49509,0.46765,0.7524,0.29195,0.77528,0.14625,0.60072,0.7961,0.18582,0.55889,0.05986,0.78661,0.12049,0.05149,0.77471,0.69538,0.64578,0.69692,0.22472,0.67309,0.73982,0.79166,0.17476,0.07982,0.45033,0.69243,0.06762,0.0449,0.13472,0.1937,0.71575,0.06498,0.24604,0.13585,0.78114,0.3609,0.85246,0.17963,0.74095,0.87321,0.67931,0.94127,0.12002,1
5.2,1,0.80901,0.75296,0.44723,0.5828,0.50169,0.84073,0.34756,0.80271,0.87069,0.89255,0.8457,0.76426,0.77767,0.71298,0.69479,0.85725,0.79193,0.7237,0.67492,0.61126,0.57269,0.73307,0.27918,0.69286,0.141,0.53874,0.72217,0.20163,0.57426,0.08874,0.79369,0.15,0.07539,0.83345,0.78553,0.7275,0.77574,0.21542,0.60263,0.7347,0.71327,0.20163,0.10015,0.46931,0.6247,0.09704,0.0666,0.16488,0.22395,0.64388,0.08354,0.27367,0.16653,0.76334,0.34659,0.7907,0.17342,0.68948,0.82095,0.62767,0.88089,0.14366,1
2.48,0.36896,0.41524,0.4247,0.43232,0.37898,0.42905,0.60036,0.41159,0.60992,0.66573,0.39689,0.40538,0.51657,0.42053,0.52388,0.517,0.26783,0.2608,0.3551,0.2747,0.37487,0.35371,0.2328,0.07266,0.28396,0.17786,0.29658,0.40808,0.69565,0.86958,0.35648,0.74483,0.32834,0.23514,0.40867,0.48637,0.48786,0.46784,0.1212,0.29135,0.42471,0.35279,0.32227,0.21252,0.92686,0.34866,0.41612,0.22347,0.47479,0.39265,0.33045,0.19653,0.38552,0.52359,0.26275,0.09691,0.39908,0.21662,0.44492,0.54875,0.33919,0.49735,0.26157,1
1.86,0.9634,0.84871,0.60321,0.32081,0.38535,0.75845,0.95145,1,0.94307,0.89046,0.9,0.7371,0.63552,0.71145,0.62856,0.52734,0.8632,0.64434,0.56316,0.58377,0.50729,0.38375,0.56748,0.48272,0.86612,0.54048,0.73571,0.7477,0.34581,0.3589,0.03284,0.34933,0.06894,0.06675,0.77436,0.71283,0.61935,0.67989,0.50937,0.78977,0.30467,0.80799,0.10398,0.13144,0.38203,0.74523,0.06341,0.12419,0.06966,0.07551,0.77926,0.17677,0.11003,0.0941,0.60646,0.56102,0.9155,0.60053,0.84107,0.83942,0.86802,0.8489,0.11095,1
2.66,0.47145,0.37017,0.2335,0.10793,0.73567,0.92905,0.96388,0.97256,0.8929,0.84529,0.41429,0.32151,0.2591,0.29376,0.2412,0.18554,0.29155,0.19551,0.17738,0.16506,0.14574,0.09978,0.69803,0.74617,0.87561,0.80116,0.6997,0.60934,0.23078,0.1509,0.03026,0.13549,0.08127,0.11963,0.33775,0.2988,0.2384,0.27918,0.77155,0.77262,0.2123,0.7378,0.13032,0.2331,0.17353,0.66273,0.04563,0.21702,0.02595,0.0548,0.72265,0.31508,0.10374,0.03803,0.73082,0.80103,0.9218,0.8374,0.81582,0.73343,0.94708,0.78094,0.17002,1
2.46,0.99268,0.80043,0.58714,0.44603,0.59236,0.82432,0.83896,0.92073,0.79932,0.76115,0.88447,0.73763,0.76046,0.68117,0.70815,0.60956,0.8458,0.6451,0.71819,0.54757,0.60517,0.46558,0.73885,0.54638,0.68956,0.49764,0.53451,0.5579,0.19688,0.30252,0.09,0.3893,0.15218,0.1438,0.7586,0.78008,0.66421,0.7221,0.52389,0.59878,0.42862,0.62312,0.2044,0.21736,0.268,0.54806,0.09759,0.18988,0.11211,0.16391,0.58789,0.2519,0.21531,0.11573,0.76867,0.62258,0.78813,0.55872,0.68583,0.69001,0.72778,0.74727,0.20529,1
2.68,0.32504,0.22318,0.13959,0.04353,0.8535,0.94764,0.96862,0.89329,0.87655,0.84359,0.26708,0.20806,0.14612,0.17644,0.12301,0.09126,0.16777,0.11091,0.09327,0.08667,0.06724,0.04611,0.79471,0.84221,0.88446,0.84876,0.67647,0.57216,0.15194,0.08915,0.0279,0.10114,0.08973,0.1368,0.21311,0.17339,0.12903,0.16323,0.84523,0.76269,0.23872,0.72189,0.14916,0.26815,0.0898,0.63306,0.03287,0.24107,0.01147,0.05787,0.70383,0.35606,0.11717,0.01432,0.81972,0.87966,0.92764,0.87764,0.799,0.70229,0.96237,0.77687,0.19556,1
4.89,0.81991,0.69206,0.56345,0.3059,0.53822,0.6723,0.90823,0.69817,0.87486,0.87804,0.74845,0.65914,0.56871,0.62015,0.54607,0.49634,0.65902,0.5428,0.48077,0.47803,0.41958,0.35222,0.63768,0.39431,0.7766,0.3626,0.63587,0.72409,0.28267,0.4452,0.05944,0.52607,0.10557,0.07473,0.67013,0.61505,0.55238,0.59954,0.37968,0.69421,0.47808,0.75343,0.14761,0.12188,0.41439,0.67931,0.08014,0.10245,0.11175,0.13889,0.7067,0.13943,0.17984,0.12619,0.67396,0.47134,0.85341,0.421,0.76851,0.82235,0.75292,0.85481,0.12932,1
