TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.86,0.97455,0.94645,0.77248,0.36373,0.36656,0.56513,0.95611,0.79646,0.94429,0.90177,0.96176,0.86405,0.63008,0.88271,0.65572,0.66359,0.94097,0.79106,0.70251,0.80453,0.66732,0.63452,0.55271,0.44971,0.86612,0.28861,0.73571,0.75766,0.3386,0.3615,0.03284,0.5494,0.06894,0.05431,0.91359,0.83986,0.82421,0.88148,0.37233,0.78977,0.63584,0.81107,0.10398,0.1023,0.37122,0.7465,0.03994,0.09388,0.08147,0.10459,0.77927,0.1286,0.11495,0.11517,0.60156,0.54305,0.9155,0.37689,0.84107,0.8506,0.76431,0.85602,0.10641,1
1.82,0.43003,0.51802,0.43119,0.21833,0.32797,0.45291,0.88126,0.66667,0.87755,0.86278,0.48002,0.43418,0.32719,0.48772,0.37436,0.38345,0.31274,0.2603,0.25335,0.31075,0.28456,0.26676,0.23588,0.31176,0.62395,0.33877,0.65277,0.64222,0.67205,0.5053,0.11692,0.49123,0.0988,0.09093,0.47397,0.44506,0.46702,0.47354,0.33581,0.64082,0.44026,0.63593,0.09035,0.11065,0.617,0.64676,0.17918,0.13709,0.19287,0.12147,0.63908,0.14634,0.08975,0.27197,0.27388,0.39713,0.73535,0.43306,0.78137,0.76575,0.6532,0.68077,0.10377,1
4.89,0.84987,0.79609,0.72936,0.3514,0.5209,0.46293,0.91503,0.50442,0.87755,0.89063,0.82249,0.78614,0.57855,0.78596,0.58805,0.63335,0.7325,0.67403,0.61093,0.6679,0.56479,0.58775,0.60911,0.37621,0.7766,0.18859,0.63587,0.73498,0.28874,0.43413,0.05944,0.68034,0.10557,0.0608,0.80839,0.74662,0.75231,0.79617,0.27408,0.69421,0.7592,0.75738,0.14761,0.09486,0.39522,0.68091,0.05708,0.07744,0.12303,0.16598,0.70671,0.10143,0.18438,0.14652,0.65564,0.46724,0.85341,0.25734,0.76851,0.83472,0.66296,0.86165,0.12403,1
3.04,0.50382,0.62101,0.58624,0.18186,0.19293,0.23046,0.95554,0.46313,0.97352,0.98582,0.57021,0.55615,0.32049,0.62256,0.38465,0.42335,0.40255,0.3769,0.25132,0.4586,0.28896,0.30835,0.1969,0.15984,0.83417,0.1914,0.88744,1,0.72068,0.70863,0.04184,0.67635,0.02548,0,0.59219,0.47418,0.53133,0.54185,0.16965,0.86536,0.55739,0.93029,0.01305,0,0.77053,0.94357,0.11482,0.02474,0.17065,0.08853,0.91257,0.01746,0.05132,0.25863,0.23051,0.21671,0.89389,0.26085,0.93745,1,0.70626,0.89429,0,1
5.02,0.67303,0.65088,0.57064,0.25826,0.52733,0.53106,0.94316,0.59882,0.90403,0.89873,0.66267,0.61848,0.44114,0.62857,0.45746,0.48131,0.52007,0.45527,0.40226,0.46393,0.3823,0.37968,0.54445,0.41195,0.81772,0.25659,0.6972,0.74422,0.34611,0.39777,0.04668,0.58902,0.08216,0.05812,0.64461,0.58406,0.58641,0.62284,0.33389,0.74716,0.66095,0.78139,0.11585,0.09891,0.39807,0.71901,0.05466,0.09013,0.10274,0.12521,0.74579,0.119,0.13464,0.13636,0.59354,0.50464,0.88253,0.33975,0.81403,0.84124,0.72149,0.84605,0.11062,1
3.51,0.62087,0.6035,0.52202,0.24791,0.54341,0.55511,0.93191,0.61947,0.89024,0.88253,0.61301,0.56797,0.41517,0.57895,0.43095,0.45023,0.46118,0.39733,0.36644,0.40687,0.35002,0.3419,0.53285,0.42926,0.78437,0.27983,0.67295,0.70248,0.35674,0.38088,0.05695,0.56007,0.09105,0.07067,0.594,0.54662,0.54683,0.57937,0.35683,0.71914,0.6341,0.74299,0.123,0.11351,0.39205,0.6861,0.06645,0.10628,0.10833,0.1279,0.71264,0.13679,0.1358,0.14327,0.58224,0.52238,0.85899,0.36681,0.79641,0.81131,0.71356,0.81271,0.12273,1
16.9,0.37913,0.3965,0.37064,0.92509,0.57878,0.50501,0.05177,0.51327,0.02151,0.10329,0.38984,0.37722,0.91119,0.39549,0.89513,0.958,0.23542,0.21109,0.7773,0.22852,0.78832,0.7581,0.41732,0.3544,0,0.27085,0,0.03949,0.46901,0.45737,1,0.57113,1,0.81369,0.39299,0.88735,0.87929,0.80022,0.31451,0,0.58647,0.016,1,0.77828,0.49292,0.00501,1,0.75591,1,1,0.00005,0.72748,1,1,0.46669,0.44392,0,0.35642,0,0.06965,0,0.04713,0.95905,1
4.79,0.98092,0.93203,1,0.39625,0.42765,0.07816,0.92178,0.0236,0.90017,0.99392,0.95662,1,0.65982,1,0.6763,0.79546,0.93438,1,0.75494,1,0.70457,0.85316,0.59153,0.19377,0.80184,0.02402,0.66419,0.92661,0.30402,0.65814,0.0515,0.95261,0.09437,0.01402,1,0.85962,0.92315,0.96382,0.08225,0.72125,0.95064,0.87487,0.13423,0.01897,0.54681,0.78628,0.05203,0,0.16784,0.21002,0.7899,0,0.22645,0.19107,0.63891,0.25899,0.87141,0.03539,0.78992,0.95832,0.58832,1,0.06731,1
2.67,0.65394,0.74562,0.53761,0.22819,0.18328,0.57315,0.96905,0.9764,0.98842,0.91139,0.70662,0.59108,0.4093,0.65664,0.46973,0.44057,0.56507,0.42354,0.36005,0.48883,0.39003,0.33127,0.29367,0.44671,0.88364,0.44825,0.88078,0.77484,0.60341,0.36431,0.02812,0.37845,0.02714,0.04959,0.65944,0.5896,0.58476,0.61744,0.4701,0.88196,0.38534,0.82861,0.02781,0.09744,0.49451,0.83442,0.08121,0.12506,0.07774,0.03021,0.84768,0.15705,0.00541,0.15292,0.33687,0.54004,0.9271,0.54776,0.93353,0.86239,0.86313,0.77506,0.06175,1
2.5,0.00636,0.0587,0.0211,0.0621,0.69132,0.68136,0.87226,0.66962,0.8064,0.79696,0.03539,0.01505,0.05488,0.0401,0.07242,0.06258,0.01151,0.00478,0.02124,0.01151,0.03383,0.01878,0.07096,0.75196,0.34683,1,0.43179,0.21564,0.89227,0.13242,0.29264,0,0.21336,0.39507,0.03073,0.06516,0.06794,0.05697,0.96288,0.39657,0,0.2728,0.18049,0.46837,0.47736,0.32525,0.38764,0.55012,0.26886,0.13232,0.32892,0.60096,0.07871,0.3778,0.08536,0.81511,0.47069,1,0.59094,0.33362,0.59415,0.28488,0.31316,1
